	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32
d1_0	0	0.10507	0.039142	0.0233891	0.0165319	0.0126281	0.0104539	0.00882074	0.00773004	0.00701287	0.00574628	0.00537616	0.00480271	0.00438248	0.00391542	0.00349699	0.00348939	0.00311278	0.00273774	0.00261563	0.00232265	0.00202123	0.00203345	0.00194957	0.00186063	0.00173562	0.00164753	0.00158042	0.00141713	0.00120539	0.00115674	0.000882438	0.000506669
d1_1	0.0312678	0.00915446	0.00512545	0.00338701	0.00269693	0.00225308	0.00197896	0.00184766	0.00164518	0.00155291	0.00142809	0.00134188	0.00128793	0.0012351	0.00110879	0.00109178	0.000881745	0.000953489	0.000936618	0.00093766	0.000745198	0.000801315	0.000782997	0.000870254	0.000769848	0.000646073	0.000732771	0.000663366	0.000674993	0.000621196	0.000616842	0.000500594	0.000357851
d1_2	0.0173234	0.00552436	0.00318104	0.00214091	0.00175261	0.00149064	0.00123764	0.00113318	0.00116737	0.00104589	0.00099998	0.000958587	0.000803596	0.000834408	0.000780107	0.000759335	0.000707942	0.000644245	0.000651616	0.000612637	0.000582408	0.000658029	0.000561432	0.000565386	0.000533702	0.000539895	0.000610061	0.000499916	0.000613672	0.000528235	0.000488936	0.000538853	0.000328937
d1_3	0.012	0.0040212	0.00249626	0.00174774	0.00126151	0.00110691	0.00104841	0.000929268	0.000875839	0.000859212	0.000792219	0.000696994	0.000659158	0.000673168	0.000562486	0.000575549	0.000657411	0.000542498	0.000512357	0.000552111	0.000502963	0.000452326	0.000506437	0.000461669	0.000452666	0.000511357	0.000478785	0.000474858	0.000481341	0.000591861	0.00049981	0.000497504	0.000344035
d1_4	0.00899821	0.00331456	0.001723	0.00141573	0.00103127	0.00093738	0.000825486	0.000775935	0.000678865	0.000656799	0.000686846	0.000591574	0.000588728	0.000581147	0.000499252	0.000523879	0.000513507	0.000526731	0.000443217	0.000441133	0.000485262	0.000415444	0.000437284	0.000388422	0.000408749	0.00043928	0.000455649	0.000423869	0.000408828	0.000466388	0.000527201	0.000398368	0.00032539
d1_5	0.00704365	0.00285055	0.00155372	0.0011865	0.000992317	0.000796668	0.00067219	0.000609326	0.000634681	0.000529083	0.000518692	0.000534336	0.000555341	0.000502713	0.000486973	0.000497109	0.000474797	0.000521953	0.000437759	0.000502139	0.000420359	0.00039121	0.000460762	0.00037646	0.000450711	0.000400166	0.000394617	0.000375349	0.000361345	0.000444246	0.000575457	0.000442139	0.000352429
d1_6	0.0061204	0.00246681	0.00143599	0.0010164	0.000821469	0.000680459	0.000629837	0.000639151	0.000557235	0.000421321	0.000460827	0.000497502	0.000388604	0.000368888	0.000393691	0.000390273	0.000403572	0.000396438	0.000363942	0.000410124	0.000356254	0.000344055	0.000317964	0.000360995	0.000357186	0.000349224	0.000306113	0.000362561	0.000397982	0.000384364	0.000405084	0.000383121	0.00036564
d1_7	0.00539962	0.00216421	0.00136306	0.000871896	0.000747588	0.000637594	0.000536956	0.000494998	0.000494886	0.000440716	0.000456785	0.00040606	0.000421732	0.000434362	0.000387122	0.000401701	0.00037425	0.000393606	0.0003552	0.000364454	0.000378142	0.000368575	0.000340877	0.000342075	0.00030522	0.000398527	0.000302895	0.000370598	0.000417029	0.000399677	0.000398039	0.000451464	0.000417667
d1_8	0.00474396	0.00203209	0.00115106	0.000895453	0.000662088	0.00058909	0.000545264	0.000472931	0.000446127	0.000411263	0.000478978	0.000397454	0.000409158	0.000458882	0.000419616	0.000377273	0.00030009	0.000332695	0.000361779	0.000311471	0.000376249	0.000324813	0.00032621	0.000359773	0.000371752	0.000427567	0.000334844	0.000299684	0.000422823	0.000367199	0.000409725	0.000361912	0.000372521
d1_9	0.00408872	0.00183633	0.00119409	0.000757402	0.000650249	0.000534905	0.000529403	0.000483883	0.000438041	0.000372315	0.000384896	0.000438775	0.000361252	0.000354385	0.000376735	0.000431925	0.000329608	0.000339038	0.000333613	0.000354605	0.000290006	0.000294605	0.000363392	0.000324586	0.000316823	0.000294266	0.000327648	0.000310629	0.000363569	0.000319741	0.000381633	0.00042415	0.000421696
d1_10	0.00359912	0.00165705	0.00105647	0.000728682	0.000549839	0.000523911	0.000535162	0.000448611	0.000354366	0.000447224	0.00032853	0.000363171	0.000381102	0.000330987	0.0003228	0.000402732	0.00033435	0.000332234	0.00035276	0.00035761	0.000268203	0.000319074	0.000304041	0.000295371	0.000275432	0.000256046	0.000330696	0.000353834	0.000343141	0.000392987	0.000401996	0.000394991	0.000459887
