	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28
d2_0	0	0.0103962	0.00553581	0.00382932	0.00290342	0.00229544	0.00193913	0.00166775	0.00147909	0.00130415	0.00118739	0.00105293	0.0010075	0.000923262	0.000808448	0.000745774	0.000770845	0.000700418	0.000676898	0.000605145	0.000564853	0.000514729	0.000490233	0.000444585	0.000460672	0.00044907	0.000400349	0.000358585	0.000346536
d2_1	0.225815	0.00879498	0.00491975	0.00338174	0.00256433	0.00205755	0.00169786	0.00151748	0.00134865	0.00124299	0.00109318	0.00104981	0.000946973	0.000887478	0.000762179	0.000776501	0.000759292	0.000749975	0.000672459	0.000619273	0.000612756	0.000562401	0.000511654	0.000514247	0.000487856	0.000461976	0.00044487	0.000419835	0.000391181
d2_2	0.0924877	0.00734947	0.00428724	0.00295922	0.00232423	0.0019191	0.0016475	0.00152625	0.00136817	0.00115255	0.00103755	0.00100222	0.000965765	0.000829732	0.000779543	0.000765292	0.000758965	0.000693278	0.000684791	0.000644322	0.00061681	0.000641619	0.00062076	0.000559937	0.000538099	0.000527953	0.000485298	0.000472013	0.000457302
d2_3	0.0515222	0.00625074	0.00364732	0.00277951	0.00211854	0.00179526	0.00144731	0.00145798	0.00127734	0.00115999	0.00105052	0.000931405	0.000880526	0.000801066	0.000726535	0.000786933	0.000736903	0.000736432	0.000640614	0.000668046	0.000634221	0.000627529	0.000527515	0.000567102	0.000540084	0.000566254	0.000575769	0.00060818	0.00057116
d2_4	0.032216	0.00513131	0.00317298	0.00238019	0.00194115	0.00161599	0.00138397	0.00125688	0.00120848	0.00103133	0.00095497	0.000895413	0.000769226	0.000853581	0.000783447	0.000703641	0.000676659	0.000705971	0.000759493	0.000632983	0.000649089	0.000632056	0.000621264	0.00062445	0.000564298	0.000617553	0.000591163	0.000640616	0.000748897
d2_5	0.0215112	0.00412032	0.00265258	0.0020741	0.00166776	0.00146237	0.00119428	0.00110971	0.00105148	0.00101604	0.000908869	0.000894914	0.000780176	0.000746911	0.000748142	0.000740973	0.000785177	0.000705823	0.00067136	0.000613318	0.000608451	0.000552633	0.000617446	0.000654995	0.000637052	0.000608935	0.000613486	0.000718089	0.000799231
d2_6	0.0148441	0.00358377	0.00238635	0.00175267	0.00149243	0.00135156	0.00126725	0.00110165	0.000989495	0.000873248	0.000891434	0.000846849	0.000745238	0.000736077	0.00069776	0.000728283	0.000674593	0.000679164	0.000633047	0.000648193	0.000648647	0.000683474	0.000597852	0.000666991	0.000657408	0.000657746	0.000674546	0.000778198	0.000967732
d2_7	0.0103844	0.00288261	0.00200677	0.00164662	0.00137882	0.00112695	0.00105524	0.000921299	0.000854979	0.000814755	0.000843657	0.000758662	0.000673663	0.000725327	0.000693544	0.000607278	0.000678232	0.000701188	0.000624033	0.000639556	0.000649376	0.000636156	0.00067749	0.000666188	0.000660976	0.000705663	0.000627348	0.000854998	0.00125167
d2_8	0.00735612	0.00255629	0.00170975	0.00149498	0.00115196	0.00116459	0.00096737	0.000919633	0.000864703	0.00082104	0.000710545	0.000778745	0.00071662	0.000659457	0.000657537	0.000636991	0.000664916	0.000580142	0.000620065	0.000635648	0.00062088	0.000623072	0.000593661	0.000705856	0.000659327	0.000731752	0.000862062	0.000948963	0.00132983
d2_9	0.00540089	0.00196791	0.00145764	0.00128913	0.00103139	0.000959602	0.000804821	0.000778329	0.000747516	0.000717073	0.000671485	0.00059365	0.000635015	0.000616713	0.000625977	0.000581282	0.000609639	0.000594394	0.000510896	0.000554763	0.000620131	0.000618294	0.00069874	0.000710989	0.000672964	0.000803868	0.000883434	0.000983503	0.00172646
